file_x,file_y,decision,dist_l2,y
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10392933/2735877323,3415697649_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10392933/3943287184,721151967_align.jpg",Yes,1.0851,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/2983825520,3441474348_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/1479599172,3938228881_align.jpg",Yes,0.9104,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/1587877911,2759202088_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/1082698621,411031910_align.jpg",Yes,1.3283,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/1421877948,1741501900_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/3711243908,71532223_align.jpg",Yes,0.7721,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/1391464715,1675623942_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/2692957186,3316187766_align.jpg",Yes,0.9914,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298234/2210383456,3463781148_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298234/2086435479,1789090965_align.jpg",Yes,0.9464,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10168383/1098205008,2394540676_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10168383/90608106,1125879744_align.jpg",Yes,0.9299,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/1100764969,3079662025_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/4012122422,1009758585_align.jpg",Yes,1.1384,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/1514410239,758688293_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/1286362789,647563715_align.jpg",Yes,0.6987,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/3887776462,3821378987_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/2293310355,865655786_align.jpg",Yes,0.8824,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10457172/2600542302,1578273165_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10457172/3573600825,2946034721_align.jpg",Yes,1.0916,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10340509/1910420171,3326067301_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10340509/3460781944,1424064927_align.jpg",Yes,1.1976,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10415631/446789204,1140117126_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10415631/3764615548,3787303521_align.jpg",Yes,1.3451,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312675/4137434354,3489504640_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312675/371627745,1495980002_align.jpg",Yes,1.2786,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276210/8ad4b31c8701a18b442076f49e2f07082938fe46.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276210/024f78f0f736afc3d11c5adeb319ebc4b745127c.jpg_align.jpg",Yes,1.18,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/3031227955,1257661800_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/88622357,2611841298_align.jpg",Yes,1.3919,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10570110/d01373f082025aafe019e298f8edab64034f1abd.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10570110/1059505457,3081570142_align.jpg",Yes,0.6337,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10391912/1283961673,3019864047_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10391912/3452948318,2354456752_align.jpg",Yes,0.6837,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10387504/2185474197,1221093015_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10387504/4162257045,156150979_align.jpg",Yes,1.3204,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/762107710,930559275_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/562c11dfa9ec8a1389b65d05f603918fa1ecc0a3.jpg_align.jpg",Yes,1.049,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/2046684576,1583126438_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/2674106031,2569312456_align.jpg",Yes,1.4285,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10534998/3499340568,3840563900_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10534998/4211695141,3855955300_align.jpg",Yes,1.2985,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/1011810253,410497635_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/3900022785,2353554225_align.jpg",Yes,1.1728,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/3335927886,2644337781_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/1385007283,2873961637_align.jpg",Yes,1.2387,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10351752/366486375,2205563113_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10351752/1994758662,2042157667_align.jpg",Yes,1.2048,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10387557/2690613172,2611273849_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10387557/622924509,1612283768_align.jpg",Yes,0.5621,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276210/b812c8fcc3cec3fd86bdc3ced688d43f8694278d.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276210/cb8065380cd791238dbdf1cfad345982b2b7802f.jpg_align.jpg",Yes,0.8865,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10453862/3750632899,1715689392_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10453862/610597457,2631374040_align.jpg",Yes,1.1614,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10534998/3162251171,286943984_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10534998/3893482777,1743800438_align.jpg",Yes,0.9966,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10340496/120345401,3623731318_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10340496/4057215926,2474125668_align.jpg",Yes,0.6826,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/1597985441,2564842848_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/1101991922,3872072596_align.jpg",Yes,0.9721,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365034/2215559983,2029526240_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365034/4104327325,261776978_align.jpg",Yes,1.0395,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390093/1552056721,2460495894_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390093/1880520663,4245792876_align.jpg",Yes,1.4486,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10427086/1641698089,2876807721_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10427086/2037774131,3226257424_align.jpg",Yes,0.9554,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298234/2474703001,3264684275_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298234/211285650,2338089044_align.jpg",Yes,0.8843,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10590693/1291853654,2465722951_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10590693/1216333853,824008385_align.jpg",Yes,0.8783,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10303010/1987244558,1015850096_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10303010/1868363325,4268889936_align.jpg",Yes,0.5682,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390684/782233232,2544778855_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390684/3458726107,4198182546_align.jpg",Yes,0.8861,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390944/586457222,1843433056_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390944/1584651345,1187190332_align.jpg",Yes,1.2633,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/3054679688,3356371834_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/2741565615,1919923986_align.jpg",Yes,0.8542,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390093/1002268797,2319097745_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390093/1862503091,3119971195_align.jpg",Yes,1.342,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276210/1398157794,935809866_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276210/1585982638,2288187185_align.jpg",Yes,0.9632,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10480900/3344964262,4252730053_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10480900/1429983187,2344787424_align.jpg",Yes,1.3516,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/2720103933,4158834352_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/562c11dfa9ec8a1389b65d05f603918fa1ecc0a3.jpg_align.jpg",Yes,0.9599,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/1100764969,3079662025_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/4203169509,3123256101_align.jpg",Yes,1.3994,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10563048/3822514055,3945413852_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10563048/1162500759,3365166325_align.jpg",Yes,1.4633,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/837743518,3690850683_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/2085683002,2282411309_align.jpg",Yes,0.8332,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10539551/3454645594,1506856031_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10539551/2390310899,2682901658_align.jpg",Yes,1.0077,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/2146984423,2343505192_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/33084718,4212257202_align.jpg",Yes,0.7801,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10364866/1049356410,2000104346_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10364866/394474001,3785968515_align.jpg",Yes,1.2552,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298234/1183370158,2766729650_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298234/1035375300,277744869_align.jpg",Yes,0.7811,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10391912/4052190163,879036656_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10391912/4029846729,4159919029_align.jpg",Yes,1.0804,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10175010/a9d3fd1f4134970a76864ac895cad1c8a6865d5b.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10175010/427743120,838423502_align.jpg",Yes,0.8461,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10351752/2381222804,4142659208_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10351752/2352600176,3733457233_align.jpg",Yes,0.7824,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10445404/3604461619,3389225572_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10445404/670505473,4197523624_align.jpg",Yes,1.2379,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10480900/cbc17b38c73e186a96ddd810.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10480900/2167125343,193070433_align.jpg",Yes,1.0316,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10510276/2473919295,1367346821_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10510276/3573653167,1199151219_align.jpg",Yes,0.7362,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10415631/1995676058,892164564_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10415631/1069537252,1632314969_align.jpg",Yes,0.8777,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10576226/1968507452,204584037_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10576226/833421920,2210990377_align.jpg",Yes,0.6576,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10200449/83025aafa40f4bfb958c2966014f78f0f73618a7.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10200449/d50735fae6cd7b89085a424d0e2442a7d8330ecd.jpg_align.jpg",Yes,1.4123,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10405240/1051890468,2447409940_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10405240/9f510fb30f2442a7a978b050d143ad4bd01302d4.jpg_align.jpg",Yes,1.0822,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/2694660306,2364819479_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/3431426291,2423487390_align.jpg",Yes,1.41,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10229751/2387005650,3763590525_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10229751/604562935,2691714323_align.jpg",Yes,0.8044,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10510276/1526839552,2547563316_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10510276/3091418012,1870550009_align.jpg",Yes,0.6717,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10270904/816490903,1960712401_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10270904/9f2f070828381f3011429a4ea9014c086f06f0fa.jpg_align.jpg",Yes,1.3144,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/1276874760,1708452548_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/521209214,3717227152_align.jpg",Yes,0.813,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10351752/1553264874,4046679699_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10351752/1725764006,2467884256_align.jpg",Yes,0.7739,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10413592/1116672118,136234661_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10413592/aa64034f78f0f7362eef0c820b55b319ebc4131b.jpg_align.jpg",Yes,0.6297,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10145749/3161906512,2835480772_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10145749/3589643090,278779853_align.jpg",Yes,0.594,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/134733776,2824029261_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/1171983809,3474899624_align.jpg",Yes,0.7385,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526946/526188818,3769623628_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526946/1797502301,929023835_align.jpg",Yes,1.3241,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10229751/2291245545,4060056228_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10229751/2129050252,3559432859_align.jpg",Yes,0.7683,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10268622/586548901,20802803_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10268622/2392537614,3083558438_align.jpg",Yes,0.8776,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/557805400,1049976618_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/1817292765,640116941_align.jpg",Yes,0.7435,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10590693/3212535566,732044464_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10590693/1185947830,1379908021_align.jpg",Yes,0.8602,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/439792943,291301423_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/1082698621,411031910_align.jpg",Yes,1.369,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10563048/1554957485,1451077418_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10563048/322614184,2765893479_align.jpg",Yes,1.374,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/4215956910,650059552_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/3590511629,2901902291_align.jpg",Yes,0.9801,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390093/3119371534,987098839_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390093/1880520663,4245792876_align.jpg",Yes,1.3911,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10564014/3865816955,976894895_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10564014/1732708523,1146776866_align.jpg",Yes,1.1216,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/2046684576,1583126438_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/856754473,2541484767_align.jpg",Yes,1.4535,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10576226/1799053129,3324939627_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10576226/3884709999,383654637_align.jpg",Yes,1.169,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/3029022633,398153440_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/562c11dfa9ec8a1389b65d05f603918fa1ecc0a3.jpg_align.jpg",Yes,1.3116,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/628406918,2655582611_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/3582944119,4276219052_align.jpg",Yes,0.4785,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10534998/4211695141,3855955300_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10534998/491709367,3762424536_align.jpg",Yes,0.9624,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365034/891320044,1892554528_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365034/3551154224,1580713640_align.jpg",Yes,0.6674,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10268622/166825574,1432028713_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10268622/4026763969,3985769909_align.jpg",Yes,0.9334,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10268622/3552866570,3411897286_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10268622/115379733,3295368166_align.jpg",Yes,1.1643,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/1040133522,3733881194_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/1370697333,904777744_align.jpg",Yes,1.3077,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10392933/24106417,3842824454_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10392933/3945620477,1009646553_align.jpg",Yes,0.7853,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/2471064228,4177133737_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366618/1597985441,2564842848_align.jpg",Yes,1.4959,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10387557/3298931224,1394040253_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10387557/2126320583,2916842526_align.jpg",Yes,0.809,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10250709/2299839958,2433761604_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10250709/2144509675,4002089690_align.jpg",Yes,1.3392,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/1173150127,4200604899_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365343/2154403661,3615026523_align.jpg",Yes,0.686,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10250709/2245778244,3847563734_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10250709/3030780717,2601078454_align.jpg",Yes,1.3123,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/466570526,4286265117_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/3060393727,1006628689_align.jpg",Yes,1.2736,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/782054092,3718789147_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/3130432171,2850226359_align.jpg",Yes,0.7559,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/1013123224,3110608271_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/124609277,3545904319_align.jpg",Yes,0.7506,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/1941096288,930735356_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/3130432171,2850226359_align.jpg",Yes,1.1788,1
